U+1B300	SHUISHU LOGOGRAM QYED7-A
U+1B301	SHUISHU LOGOGRAM BYEENG3
U+1B302	SHUISHU LOGOGRAM HNGAAN5 HNGOU1
U+1B303	SHUISHU LOGOGRAM DAI6
U+1B304	SHUISHU LOGOGRAM BI2 KU1
U+1B305	SHUISHU LOGOGRAM QYUM5-A
U+1B306	SHUISHU LOGOGRAM DI6-A
U+1B307	SHUISHU LOGOGRAM DYUM1 FONG2 HU3
U+1B308	SHUISHU LOGOGRAM YU4
U+1B309	SHUISHU LOGOGRAM HED7
U+1B30A	SHUISHU LOGOGRAM XGO3
U+1B30B	SHUISHU LOGOGRAM DOI6
U+1B30C	SHUISHU LOGOGRAM MOG8
U+1B30D	SHUISHU LOGOGRAM DYOU3 DYED7
U+1B30E	SHUISHU LOGOGRAM KAAM3
U+1B30F	SHUISHU LOGOGRAM ZAM2
U+1B310	SHUISHU LOGOGRAM BA2
U+1B311	SHUISHU LOGOGRAM NDEN1
U+1B312	SHUISHU LOGOGRAM LYEEU2
U+1B313	SHUISHU LOGOGRAM FAI4 NU4
U+1B314	SHUISHU LOGOGRAM ZING3
U+1B315	SHUISHU LOGOGRAM XGAAN2 FU5
U+1B316	SHUISHU LOGOGRAM KAANG5
U+1B317	SHUISHU LOGOGRAM DI6-B
U+1B318	SHUISHU LOGOGRAM GGAM4 MOG8
U+1B319	SHUISHU LOGOGRAM LUNG5
U+1B31A	SHUISHU LOGOGRAM NNI6
U+1B31B	SHUISHU LOGOGRAM GGUI5-A
U+1B31C	SHUISHU LOGOGRAM XAM3
U+1B31D	SHUISHU LOGOGRAM HAAM1
U+1B31E	SHUISHU LOGOGRAM NYEEM6 YU5
U+1B31F	SHUISHU LOGOGRAM UN1 DANG5
U+1B320	SHUISHU LOGOGRAM DYAB8
U+1B321	SHUISHU LOGOGRAM XEN1-A
U+1B322	SHUISHU LOGOGRAM QDONG1
U+1B323	SHUISHU LOGOGRAM SYAANG6
U+1B324	SHUISHU LOGOGRAM REN1-A
U+1B325	SHUISHU LOGOGRAM YAD8 MYA1
U+1B326	SHUISHU LOGOGRAM UN1 DANG5 QNING3
U+1B327	SHUISHU LOGOGRAM QDONG1 LAO4
U+1B328	SHUISHU LOGOGRAM BAAN2
U+1B329	SHUISHU LOGOGRAM BIG7 SUI3 JEN1
U+1B32A	SHUISHU LOGOGRAM MYEED8 MEN2
U+1B32B	SHUISHU LOGOGRAM DONG2 SEI5 DANG1
U+1B32C	SHUISHU LOGOGRAM GWE1
U+1B32D	SHUISHU LOGOGRAM DYEEN6
U+1B32E	SHUISHU LOGOGRAM ZAB8
U+1B32F	SHUISHU LOGOGRAM SAAN1
U+1B330	SHUISHU LOGOGRAM MBEE1
U+1B331	SHUISHU LOGOGRAM NNAO6-A
U+1B332	SHUISHU LOGOGRAM GGAG7
U+1B333	SHUISHU LOGOGRAM MYEED8
U+1B334	SHUISHU LOGOGRAM QDEE3
U+1B335	SHUISHU LOGOGRAM AAN1 QWON5
U+1B336	SHUISHU LOGOGRAM XGGAI3
U+1B337	SHUISHU LOGOGRAM MAN6-A
U+1B338	SHUISHU LOGOGRAM ZEN5
U+1B339	SHUISHU LOGOGRAM YEN2 YUI2
U+1B33A	SHUISHU LOGOGRAM MYO3
U+1B33B	SHUISHU LOGOGRAM JOD8
U+1B33C	SHUISHU LOGOGRAM DYUM1-A
U+1B33D	SHUISHU LOGOGRAM QBYAAG7
U+1B33E	SHUISHU LOGOGRAM HMAAG7
U+1B33F	SHUISHU LOGOGRAM DOI5
U+1B340	SHUISHU LOGOGRAM MEE2
U+1B341	SHUISHU LOGOGRAM JAN3
U+1B342	SHUISHU LOGOGRAM HED8
U+1B343	SHUISHU LOGOGRAM FEN1
U+1B344	SHUISHU LOGOGRAM KKOU3-A
U+1B345	SHUISHU LOGOGRAM LA1
U+1B346	SHUISHU LOGOGRAM QYAM1
U+1B347	SHUISHU LOGOGRAM DYU5
U+1B348	SHUISHU LOGOGRAM DOI5 DOU2
U+1B349	SHUISHU LOGOGRAM SO1
U+1B34A	SHUISHU LOGOGRAM FAANG1
U+1B34B	SHUISHU LOGOGRAM JUI5
U+1B34C	SHUISHU LOGOGRAM NYEEN2
U+1B34D	SHUISHU LOGOGRAM YAANG2
U+1B34E	SHUISHU LOGOGRAM ZI3
U+1B34F	SHUISHU LOGOGRAM YUM1-A
U+1B350	SHUISHU LOGOGRAM BYONG4
U+1B351	SHUISHU LOGOGRAM PYEI5
U+1B352	SHUISHU LOGOGRAM QYED7-B
U+1B353	SHUISHU LOGOGRAM FU4
U+1B354	SHUISHU LOGOGRAM EI3 SOU3
U+1B355	SHUISHU LOGOGRAM NDOU5
U+1B356	SHUISHU LOGOGRAM BANG6
U+1B357	SHUISHU LOGOGRAM LYU2 LI2 SUI3
U+1B358	SHUISHU LOGOGRAM XONG1 XEEB7
U+1B359	SHUISHU LOGOGRAM SA1 BONG2
U+1B35A	SHUISHU LOGOGRAM DI6 HAANG1 FAN1
U+1B35B	SHUISHU LOGOGRAM XA3
U+1B35C	SHUISHU LOGOGRAM VYEN3
U+1B35D	SHUISHU LOGOGRAM BYED8 XONG1
U+1B35E	SHUISHU LOGOGRAM DEE5
U+1B35F	SHUISHU LOGOGRAM SO3 SYEEN1
U+1B360	SHUISHU LOGOGRAM GA1
U+1B361	SHUISHU LOGOGRAM ZAANG1 NNOD8 LOG8
U+1B362	SHUISHU LOGOGRAM JAAB7
U+1B363	SHUISHU LOGOGRAM QNA3
U+1B364	SHUISHU LOGOGRAM MAO4
U+1B365	SHUISHU LOGOGRAM NI4
U+1B366	SHUISHU LOGOGRAM YUM1-B
U+1B367	SHUISHU LOGOGRAM XGAAN2
U+1B368	SHUISHU LOGOGRAM QBA3
U+1B369	SHUISHU LOGOGRAM GGEEN1
U+1B36A	SHUISHU LOGOGRAM DIG7-A
U+1B36B	SHUISHU LOGOGRAM GU3 SUB7
U+1B36C	SHUISHU LOGOGRAM DA3
U+1B36D	SHUISHU LOGOGRAM BEN3
U+1B36E	SHUISHU LOGOGRAM XONG1
U+1B36F	SHUISHU LOGOGRAM FONG2
U+1B370	SHUISHU LOGOGRAM VA3
U+1B371	SHUISHU LOGOGRAM LEN2
U+1B372	SHUISHU LOGOGRAM NYUM5
U+1B373	SHUISHU LOGOGRAM LI2
U+1B374	SHUISHU LOGOGRAM DIG7-B
U+1B375	SHUISHU LOGOGRAM BU1
U+1B376	SHUISHU LOGOGRAM GGOU3 RAI5
U+1B377	SHUISHU LOGOGRAM KKOU1
U+1B378	SHUISHU LOGOGRAM DU3 BYAI2
U+1B379	SHUISHU LOGOGRAM JAAB8
U+1B37A	SHUISHU LOGOGRAM GWAI5
U+1B37B	SHUISHU LOGOGRAM HAM3
U+1B37C	SHUISHU LOGOGRAM SA5 SYEENG1
U+1B37D	SHUISHU LOGOGRAM JI1
U+1B37E	SHUISHU LOGOGRAM YEENG3 GA1
U+1B37F	SHUISHU LOGOGRAM LIN3
U+1B380	SHUISHU LOGOGRAM GAAM3
U+1B381	SHUISHU LOGOGRAM FAN2
U+1B382	SHUISHU LOGOGRAM XON6
U+1B383	SHUISHU LOGOGRAM NNUM2
U+1B384	SHUISHU LOGOGRAM SUI3
U+1B385	SHUISHU LOGOGRAM MAN1
U+1B386	SHUISHU LOGOGRAM LYEEU4 JA1 XOD7
U+1B387	SHUISHU LOGOGRAM NGO4 HU3
U+1B388	SHUISHU LOGOGRAM JU3 SUI3 BEEU5
U+1B389	SHUISHU LOGOGRAM JED7 SAAD7
U+1B38A	SHUISHU LOGOGRAM FONG1 YONG2
U+1B38B	SHUISHU LOGOGRAM DAO5
U+1B38C	SHUISHU LOGOGRAM HO3
U+1B38D	SHUISHU LOGOGRAM DAI6 XONG1
U+1B38E	SHUISHU LOGOGRAM JUI3 SAAD7 JA1
U+1B38F	SHUISHU LOGOGRAM QXGOG7
U+1B390	SHUISHU LOGOGRAM KKAANG1
U+1B391	SHUISHU LOGOGRAM DO5 QWAANG5
U+1B392	SHUISHU LOGOGRAM ZON5
U+1B393	SHUISHU LOGOGRAM FAAN6
U+1B394	SHUISHU LOGOGRAM GAM6
U+1B395	SHUISHU LOGOGRAM MON1
U+1B396	SHUISHU LOGOGRAM ZEENG6
U+1B397	SHUISHU LOGOGRAM MID8
U+1B398	SHUISHU LOGOGRAM NUG8
U+1B399	SHUISHU LOGOGRAM NDAI5
U+1B39A	SHUISHU LOGOGRAM LAM1
U+1B39B	SHUISHU LOGOGRAM YIU1
U+1B39C	SHUISHU LOGOGRAM LO1
U+1B39D	SHUISHU LOGOGRAM NAAM2
U+1B39E	SHUISHU LOGOGRAM XOD8 LU6
U+1B39F	SHUISHU LOGOGRAM BANG1
U+1B3A0	SHUISHU LOGOGRAM BEN2 DONG2
U+1B3A1	SHUISHU LOGOGRAM PEEU1 NNAN2
U+1B3A2	SHUISHU LOGOGRAM VAN1
U+1B3A3	SHUISHU LOGOGRAM ZONG2
U+1B3A4	SHUISHU LOGOGRAM DA5
U+1B3A5	SHUISHU LOGOGRAM HEN2-A
U+1B3A6	SHUISHU LOGOGRAM HUN4
U+1B3A7	SHUISHU LOGOGRAM XONG1 QYED7
U+1B3A8	SHUISHU LOGOGRAM RED7
U+1B3A9	SHUISHU LOGOGRAM QBYAI5
U+1B3AA	SHUISHU LOGOGRAM NNAAN1
U+1B3AB	SHUISHU LOGOGRAM GEI5
U+1B3AC	SHUISHU LOGOGRAM QYOU5 JA1
U+1B3AD	SHUISHU LOGOGRAM QDAI1
U+1B3AE	SHUISHU LOGOGRAM DUI4
U+1B3AF	SHUISHU LOGOGRAM DAANG2
U+1B3B0	SHUISHU LOGOGRAM GING3
U+1B3B1	SHUISHU LOGOGRAM GA4 FA1
U+1B3B2	SHUISHU LOGOGRAM LOU4
U+1B3B3	SHUISHU LOGOGRAM XI3 VYEN5
U+1B3B4	SHUISHU LOGOGRAM XEEN2 BYED8 XGAAN2
U+1B3B5	SHUISHU LOGOGRAM KKAG7
U+1B3B6	SHUISHU LOGOGRAM ZEN2
U+1B3B7	SHUISHU LOGOGRAM HO4
U+1B3B8	SHUISHU LOGOGRAM BU2 MBYIU1
