initials:									
B	P	MB	QB	HM	M	QM	F	V	QW
D	T	ND	QD	HN	N	QN	L		
Z	C						S	R	
J	Q			HNN	NN	QNN	X	Y	_TBD1_
G	K			HNG	NG	QNG	XG	QXG	
GG	KK							XGG	
_TBD2_							H		
BY	PY	MBY	MPY	HMY	MY		FY	VY	
DY	TY	NDY	NTY	HNY	NY	QNY			LY
ZY	CY						SY		
DW		NDW	QDW						
ZW	CW						SW		LW
GW	KW				NGW	QNGW			
									
rhymes:									
I	EE	A		O	U	E	_TBD3_		
		AI	EI	OI	UI				
IU	EEU	AO	OU						
IM	EEM	AAM	AM	OM	UM				
IN	EEN	AAN	AN	ON	UN	EN			
ING	EENG	AANG	ANG	ONG	UNG	ENG			
IB	EEB	AAN	AB	OB	UB				
ID	EED	AAD	AD	OD	UD	ED			
IG	EEG	AAG	AG	OG	UG	EG			
